55,retired,married,secondary,no,466,no,no,unknown,17,jun,287,4,-1,0,unknown,no,0.466
47,management,single,tertiary,no,153,yes,no,cellular,18,nov,192,2,-1,0,unknown,no,0.153
57,admin.,married,secondary,no,808,no,no,cellular,14,jul,417,3,-1,0,unknown,no,0.808
52,technician,married,secondary,no,195,yes,no,cellular,18,feb,220,1,63,5,failure,yes,0.195
32,management,single,tertiary,no,473,yes,no,cellular,11,may,72,2,361,1,other,no,0.473
33,management,single,tertiary,no,71,no,no,cellular,22,aug,107,6,-1,0,unknown,no,0.071
27,services,married,secondary,no,0,yes,no,cellular,23,jul,198,13,-1,0,unknown,no,0.0
63,retired,married,secondary,no,474,no,no,cellular,25,jan,423,1,-1,0,unknown,yes,0.474
59,blue-collar,married,primary,no,2814,no,no,unknown,20,jun,81,3,-1,0,unknown,no,2.814
35,unknown,married,primary,no,365,no,no,cellular,29,aug,41,2,-1,0,unknown,no,0.365
42,housemaid,single,primary,no,5774,yes,no,unknown,15,may,54,2,-1,0,unknown,no,5.774
47,blue-collar,single,unknown,no,2443,no,no,unknown,18,jun,422,1,-1,0,unknown,no,2.443
42,admin.,single,secondary,no,1022,yes,no,unknown,5,may,146,2,-1,0,unknown,no,1.022
58,retired,married,secondary,no,3382,no,yes,cellular,28,may,294,2,309,2,failure,no,3.382
39,technician,married,unknown,no,839,no,no,unknown,30,may,825,2,-1,0,unknown,no,0.839
35,blue-collar,married,primary,no,298,yes,no,cellular,13,may,135,2,370,2,failure,no,0.298
54,management,divorced,tertiary,no,0,no,yes,cellular,10,jul,88,1,-1,0,unknown,no,0.0
35,unemployed,married,secondary,no,978,no,no,cellular,29,dec,1370,3,209,3,success,yes,0.978
37,admin.,single,secondary,no,781,no,no,cellular,20,aug,75,1,-1,0,unknown,no,0.781
64,housemaid,married,primary,no,768,no,no,cellular,15,jul,250,2,182,1,success,no,0.768
46,admin.,single,secondary,no,1790,yes,no,unknown,5,jun,214,5,-1,0,unknown,no,1.79
35,management,married,tertiary,no,1253,yes,no,unknown,19,may,210,2,-1,0,unknown,no,1.253
42,retired,single,tertiary,no,308,no,no,cellular,30,jan,114,2,-1,0,unknown,no,0.308
36,management,married,tertiary,no,860,yes,no,unknown,20,may,294,15,-1,0,unknown,no,0.86
34,admin.,married,secondary,no,5320,no,no,cellular,3,mar,114,6,467,5,other,no,5.32
36,management,single,tertiary,no,613,no,no,cellular,7,aug,86,2,-1,0,unknown,no,0.613
44,blue-collar,married,secondary,no,-674,yes,no,unknown,5,may,257,1,-1,0,unknown,no,-0.674
49,management,married,primary,no,3371,no,no,cellular,11,nov,269,2,-1,0,unknown,yes,3.371
29,blue-collar,single,secondary,no,770,yes,no,cellular,17,apr,341,1,-1,0,unknown,no,0.77
36,student,single,unknown,no,386,no,no,unknown,18,jun,359,2,-1,0,unknown,no,0.386
69,retired,married,primary,no,279,no,no,telephone,12,aug,26,1,-1,0,unknown,no,0.279
41,entrepreneur,married,tertiary,no,171,yes,no,cellular,19,nov,209,1,191,4,failure,no,0.171
55,entrepreneur,married,secondary,no,204,no,no,cellular,14,jul,455,13,-1,0,unknown,no,0.204
47,services,divorced,secondary,no,4906,yes,no,unknown,14,may,389,1,-1,0,unknown,no,4.906
41,technician,married,tertiary,no,0,no,no,unknown,20,jun,95,1,-1,0,unknown,no,0.0
40,blue-collar,married,secondary,no,6767,yes,no,cellular,20,nov,97,2,-1,0,unknown,no,6.767
